,Sex_F,Sex_I,Sex_M
0,0,0,1
1,0,0,1
2,1,0,0
3,0,0,1
4,0,1,0
5,0,1,0
6,1,0,0
7,1,0,0
8,0,0,1
9,1,0,0
10,1,0,0
11,0,0,1
12,0,0,1
13,1,0,0
14,1,0,0
15,0,0,1
16,0,1,0
17,1,0,0
18,0,0,1
19,0,0,1
20,0,0,1
21,0,1,0
22,1,0,0
23,1,0,0
24,1,0,0
25,1,0,0
26,1,0,0
27,0,0,1
28,0,0,1
29,0,0,1
30,0,0,1
31,1,0,0
32,0,0,1
33,1,0,0
34,1,0,0
35,0,0,1
36,1,0,0
37,1,0,0
38,1,0,0
39,0,0,1
40,1,0,0
41,1,0,0
42,0,1,0
43,0,1,0
44,0,1,0
45,0,1,0
46,0,0,1
47,1,0,0
48,0,1,0
49,1,0,0
50,0,1,0
51,0,0,1
52,0,0,1
53,1,0,0
54,0,0,1
55,1,0,0
56,0,0,1
57,0,0,1
58,0,1,0
59,1,0,0
60,0,0,1
61,0,0,1
62,1,0,0
63,0,0,1
64,0,0,1
65,0,0,1
66,1,0,0
67,1,0,0
68,1,0,0
69,0,1,0
70,0,0,1
71,1,0,0
72,1,0,0
73,0,0,1
74,1,0,0
75,1,0,0
76,0,0,1
77,1,0,0
78,1,0,0
79,1,0,0
80,1,0,0
81,0,0,1
82,1,0,0
83,0,0,1
84,0,0,1
85,1,0,0
86,0,0,1
87,0,0,1
88,1,0,0
89,1,0,0
90,0,0,1
91,0,0,1
92,0,0,1
93,1,0,0
94,0,0,1
95,0,0,1
96,0,0,1
97,0,0,1
98,0,0,1
99,1,0,0
100,0,1,0
101,0,0,1
102,0,0,1
103,0,0,1
104,0,0,1
105,1,0,0
106,1,0,0
107,1,0,0
108,1,0,0
109,1,0,0
110,0,0,1
111,0,0,1
112,0,1,0
113,0,0,1
114,1,0,0
115,1,0,0
116,1,0,0
117,0,0,1
118,1,0,0
119,0,0,1
120,1,0,0
121,0,1,0
122,1,0,0
123,0,0,1
124,0,1,0
125,0,1,0
126,0,1,0
127,0,1,0
128,0,0,1
129,0,0,1
130,0,0,1
131,1,0,0
132,1,0,0
133,0,1,0
134,0,1,0
135,1,0,0
136,1,0,0
137,0,0,1
138,1,0,0
139,0,0,1
140,1,0,0
141,1,0,0
142,0,0,1
143,0,0,1
144,0,0,1
145,1,0,0
146,0,0,1
147,0,1,0
148,0,1,0
149,0,1,0
150,0,0,1
151,1,0,0
152,1,0,0
153,1,0,0
154,1,0,0
155,0,0,1
156,1,0,0
157,0,0,1
158,1,0,0
159,1,0,0
160,0,0,1
161,1,0,0
162,0,0,1
163,1,0,0
164,1,0,0
165,0,0,1
166,1,0,0
167,1,0,0
168,0,0,1
169,1,0,0
170,0,0,1
171,1,0,0
172,0,0,1
173,1,0,0
174,0,1,0
175,0,1,0
176,0,1,0
177,0,1,0
178,0,1,0
179,0,0,1
180,0,0,1
181,0,0,1
182,1,0,0
183,1,0,0
184,1,0,0
185,0,0,1
186,1,0,0
187,1,0,0
188,1,0,0
189,1,0,0
190,0,0,1
191,0,0,1
192,0,0,1
193,0,1,0
194,1,0,0
195,0,0,1
196,1,0,0
